table0_id;table0A;table0B;table0C;table0D;table0E
204;217;358;398;866;283
205;924;192;919;414;516
206;980;852;935;547;410
207;101;345;158;328;753
208;116;18;502;598;749
209;283;781;966;21;850
210;262;100;881;854;877
211;866;932;654;624;550
212;129;308;957;47;850
213;539;560;304;493;412
214;419;737;735;338;260
215;325;384;744;217;931
216;459;303;231;49;202
217;222;133;376;110;927
218;184;639;660;370;605
219;276;868;42;408;837
220;659;858;151;587;865
221;537;843;253;391;739
222;883;75;598;560;772
223;166;437;595;307;127
224;370;63;501;959;745
225;311;425;236;597;269
226;998;792;940;501;912
227;763;755;114;36;602
228;210;232;348;113;986
229;851;622;155;416;493
230;329;244;967;326;180
231;745;213;76;365;998
232;756;375;106;174;737
233;954;519;494;339;199
234;735;378;760;546;827
235;44;296;162;111;480
236;211;327;306;614;362
237;136;281;76;703;900
238;587;958;407;908;468
239;261;101;926;430;610
240;447;105;265;100;499
241;615;603;582;79;886
242;968;496;505;695;514
243;391;364;745;460;665
244;683;857;636;403;93
245;779;630;308;99;305
246;296;172;144;340;354
247;525;254;62;249;686
248;331;867;647;956;276
249;821;161;448;209;765
250;329;525;470;873;740
251;786;675;775;29;974
252;687;698;263;894;406
253;762;265;493;786;581
254;7;306;103;543;684
255;23;16;408;825;303
256;495;75;377;908;712
257;971;570;392;913;736
258;670;572;854;417;495
259;834;366;619;143;780
260;819;628;459;218;938
261;696;268;228;677;149
262;301;402;277;357;17
263;335;141;686;935;310
264;378;762;586;551;15
265;722;666;706;10;490
266;693;147;41;417;962
267;119;446;201;911;38
268;669;59;330;863;945
269;412;169;660;720;769
270;742;105;660;6;725
271;501;335;969;508;730
272;211;435;387;566;681
273;721;335;413;907;109
274;131;101;513;831;495
275;511;975;533;735;963
276;84;989;427;844;302
277;933;768;407;454;651
278;247;351;592;150;995
279;799;996;619;467;374
280;510;717;425;176;602
281;294;386;652;641;700
282;51;579;552;906;267
283;525;670;930;420;130
284;921;750;107;422;155
285;257;3;955;902;341
286;519;98;264;605;899
287;557;266;736;794;141
288;357;998;207;546;562
289;33;746;890;766;314
290;151;275;467;403;564
291;918;54;864;613;76
292;75;368;500;19;456
293;790;237;456;715;735
294;107;959;539;489;575
295;938;125;623;534;37
296;134;261;627;209;236
297;756;379;468;109;416
298;476;230;907;560;283
299;208;748;747;539;737
300;205;887;638;177;700
301;112;277;124;296;329
302;225;949;813;223;318
303;220;213;837;13;526
304;400;350;558;543;29
305;431;912;388;647;570
306;394;610;37;112;61
307;672;693;369;791;75
308;384;470;641;988;507
309;134;34;32;951;50
310;993;298;993;138;714
311;703;496;774;252;373
312;493;767;424;371;807
313;536;557;884;862;890
314;426;137;120;417;311
315;606;779;718;693;30
316;57;838;239;664;980
317;148;484;873;519;858
318;309;154;123;783;857
319;283;462;852;531;774
320;335;991;365;808;211
321;156;438;691;648;267
322;437;283;884;557;75
323;990;741;397;339;175
324;747;263;226;661;611
325;358;672;585;893;106
326;954;12;868;535;925
327;218;212;424;754;667
328;628;946;880;881;90
329;724;462;30;941;661
330;300;557;399;889;211
331;278;726;142;721;833
332;466;643;26;521;534
333;584;951;165;273;696
334;454;755;669;554;875
335;237;553;907;238;234
336;397;739;974;827;382
337;144;45;107;137;590
338;553;334;10;62;818
339;52;116;142;944;829
340;522;554;223;859;978
341;602;501;589;406;848
342;48;418;902;661;510
343;474;273;291;504;260
344;223;545;955;19;912
345;25;206;327;390;692
346;343;791;265;114;982
347;909;477;25;667;464
348;698;395;802;158;695
349;157;178;422;175;647
350;173;573;380;47;228
351;650;279;920;333;991
352;900;992;14;844;886
353;948;767;569;729;71
354;720;435;512;440;928
355;961;349;344;796;871
356;246;755;79;508;700
357;237;69;854;603;372
358;826;779;989;80;514
359;745;440;510;580;244
360;601;606;191;161;529
361;827;124;714;576;652
362;63;483;533;681;787
363;859;26;403;686;162
364;556;388;556;25;207
365;280;510;410;246;597
366;589;498;353;553;825
367;475;505;439;392;664
368;510;614;374;191;929
369;691;360;81;467;240
370;546;186;652;527;569
371;622;97;349;77;565
372;559;140;521;933;661
373;447;858;469;708;744
374;229;893;557;319;599
375;484;9;807;324;761
376;681;734;690;511;575
377;786;820;208;352;676
378;665;647;760;248;629
379;635;282;478;879;460
380;249;844;428;293;27
381;816;253;223;76;428
382;516;904;607;8;801
383;764;305;536;671;554
384;412;912;221;480;12
385;114;546;462;94;662
386;91;627;553;274;240
387;233;447;677;51;856
388;938;373;765;999;322
389;957;642;552;845;437
390;68;674;56;280;678
391;101;769;641;722;650
392;167;152;381;730;19
393;469;710;280;398;637
394;894;929;243;650;415
395;598;799;75;255;573
396;275;931;115;985;349
397;765;857;623;78;852
398;398;488;575;661;295
399;716;798;524;969;434
400;684;693;49;659;288
401;17;587;896;263;38
402;81;477;750;327;904
403;488;247;784;522;106
404;339;201;571;353;956
405;526;911;630;360;9
406;454;876;830;960;995
407;102;553;31;25;727
408;875;149;176;850;545
409;709;918;12;506;487
410;449;463;204;363;77
411;475;963;49;111;153
412;899;293;363;635;639
413;453;329;357;561;320
414;31;441;173;456;682
415;30;21;357;727;921
416;509;331;357;289;478
417;675;398;113;15;307
418;90;970;290;69;501
419;588;244;52;376;436
420;116;304;324;473;460
421;395;841;558;486;868
422;303;483;702;121;326
423;784;4;923;881;998
424;849;90;528;57;212
425;499;412;244;138;802
426;788;781;667;481;276
427;375;230;247;69;795
428;641;512;476;184;728
429;168;920;157;631;355
430;988;832;638;685;587
431;338;461;650;768;585
432;742;22;123;780;760
433;301;53;554;90;470
434;918;625;560;368;701
435;755;833;79;304;172
436;649;140;823;161;611
437;311;910;370;658;944
438;932;877;548;797;258
439;485;407;43;167;450
440;935;820;984;807;362
441;729;239;335;854;699
442;709;831;3;373;976
443;821;122;738;161;626
444;641;762;688;110;902
445;918;699;797;910;687
446;998;316;108;829;539
447;831;622;150;836;326
448;505;595;869;325;875
449;903;45;206;560;974
450;485;997;243;512;24
451;205;592;235;419;25
452;81;331;172;621;798
453;923;344;23;809;362
454;681;901;558;452;248
455;888;283;77;203;213
456;786;649;413;391;346
457;37;108;458;252;861
458;936;190;742;204;365
459;618;695;939;134;661
460;94;658;255;894;59
461;427;206;27;616;560
462;888;918;579;334;263
463;946;254;247;909;620
464;931;215;825;813;917
465;861;477;548;594;282
466;854;400;665;497;528
467;15;132;404;597;754
468;533;610;372;58;55
469;66;858;319;779;323
470;560;502;189;963;950
471;993;58;116;383;483
472;817;998;781;619;236
473;378;542;497;673;258
474;631;85;433;431;758
475;618;954;415;331;697
476;487;353;239;377;669
477;878;180;403;881;802
478;252;662;828;105;721
479;699;484;904;865;670
480;365;428;416;756;359
481;883;79;63;495;255
482;522;577;952;147;843
483;348;762;974;925;680
484;706;893;890;858;88
485;907;788;284;863;731
486;25;540;264;363;339
487;621;936;822;903;619
488;896;706;8;521;705
489;519;231;120;90;681
490;666;709;827;575;324
491;314;471;773;200;582
492;90;240;899;775;612
493;211;472;647;732;241
494;5;328;16;307;416
495;77;858;926;345;82
496;974;115;111;740;81
497;744;272;934;633;891
498;690;854;967;803;251
499;133;921;467;413;926
500;64;21;350;710;548
501;351;837;91;763;421
502;139;149;177;999;194
503;170;113;17;545;605
504;280;241;677;931;298
505;213;912;736;338;55
506;373;949;613;199;832
507;368;161;203;575;12
508;611;799;697;391;570
509;653;352;373;868;773
510;459;341;999;495;557
511;46;286;266;287;76
512;257;265;398;328;692
513;504;129;427;143;393
514;859;904;819;664;602
515;539;658;7;757;383
516;868;749;799;807;33
517;68;202;479;899;925
518;94;692;60;952;750
519;379;902;600;602;473
520;218;99;543;115;364
521;538;474;537;895;843
522;156;347;997;497;381
523;683;219;980;174;277
524;392;882;305;421;834
525;716;868;632;915;133
526;318;107;73;492;161
527;110;680;863;600;222
528;82;562;25;886;302
529;855;599;669;868;271
530;388;464;100;32;987
531;587;757;972;899;420
532;595;478;421;435;548
533;858;727;42;578;23
534;986;981;762;893;896
535;611;990;923;211;893
536;381;858;748;514;649
537;307;618;694;760;826
538;145;47;876;520;600
539;544;601;175;721;584
540;127;14;324;431;821
541;615;24;63;327;163
542;122;950;975;225;123
543;537;563;88;88;394
544;161;237;517;678;493
545;622;429;905;42;490
546;172;128;765;274;116
547;469;350;272;448;690
548;752;997;344;34;672
549;707;573;461;499;759
550;514;407;462;652;49
551;341;943;198;366;487
552;541;685;806;593;417
553;140;319;800;149;16
554;595;833;689;997;390
555;817;291;156;676;78
556;176;985;281;50;991
557;548;813;308;957;115
558;296;613;642;628;132
559;432;557;561;649;11
560;286;498;979;500;349
561;182;930;382;445;988
562;422;225;548;491;233
563;352;266;967;407;284
564;837;100;305;991;866
565;62;700;682;31;490
566;713;419;81;940;987
567;524;566;940;961;902
568;50;681;590;211;829
569;554;81;186;209;791
570;415;4;950;700;218
571;707;683;662;514;490
572;138;83;802;999;893
573;366;171;688;353;499
574;875;80;369;792;359
575;23;412;224;374;157
576;251;316;496;430;880
577;53;50;831;273;253
578;243;318;468;409;487
579;208;849;974;291;47
580;469;142;544;141;219
581;515;189;592;611;254
582;508;777;181;308;737
583;748;390;454;340;257
584;495;250;3;905;51
585;641;303;816;86;456
586;752;103;334;23;644
587;26;879;471;412;226
588;998;513;569;354;17
589;980;200;922;540;26
590;857;206;657;382;678
591;349;61;746;529;473
592;62;212;685;27;979
593;487;153;582;374;969
594;664;769;875;465;930
595;294;431;605;572;491
596;572;866;869;243;856
597;613;360;957;256;705
598;359;545;950;570;799
599;725;5;12;415;853
600;843;802;938;804;364
601;944;287;644;712;479
602;443;935;11;597;510
603;70;259;252;829;356
604;883;246;641;147;462
605;945;840;288;682;438
606;201;829;770;867;679
607;600;658;956;642;278
608;976;782;30;961;54
609;521;825;65;658;333
610;536;887;439;314;822
611;765;396;636;64;793
612;91;278;351;899;877
613;679;148;604;63;888
614;995;610;750;938;315
615;268;539;227;68;777
616;141;564;703;748;127
617;289;30;477;699;216
618;338;784;557;799;262
619;60;907;556;694;331
620;175;862;638;573;727
621;364;733;31;467;573
622;179;324;563;271;143
623;22;451;111;247;651
624;545;287;746;197;38
625;844;517;279;315;221
626;641;178;945;656;915
627;555;550;835;914;772
628;669;904;768;619;296
629;868;149;157;320;869
630;921;693;972;43;3
631;87;777;40;203;41
632;671;560;760;735;705
633;913;820;57;21;702
634;230;897;928;388;829
635;526;658;179;517;698
636;782;457;274;9;166
637;124;360;986;545;9
638;222;606;624;718;976
639;98;169;605;294;773
640;452;27;201;359;399
641;71;444;672;122;238
642;230;127;654;81;618
643;174;838;83;883;913
644;643;207;945;927;591
645;321;616;732;46;263
646;789;789;351;124;315
647;669;566;225;973;513
648;590;213;221;15;850
649;459;743;950;284;446
650;447;713;449;565;307
651;810;205;248;262;293
652;239;616;110;774;812
653;551;324;929;59;517
654;943;848;878;574;424
655;507;136;341;276;774
656;579;11;547;379;572
657;695;549;84;549;656
658;46;6;986;547;34
659;121;118;192;454;555
660;536;573;217;236;405
661;865;166;836;199;961
662;988;477;978;171;332
663;356;515;943;962;720
664;10;560;565;776;918
665;724;521;408;48;948
666;724;187;733;238;585
667;553;455;337;565;223
668;103;941;337;308;572
669;424;566;521;203;287
670;589;699;377;464;901
671;915;342;226;131;3
672;965;558;383;540;754
673;6;700;969;434;498
674;587;45;455;113;715
675;821;577;398;145;776
676;202;475;331;519;118
677;743;614;625;159;952
678;691;691;42;874;981
679;432;360;25;449;569
680;574;219;275;616;717
681;217;828;101;218;263
682;130;931;11;693;637
683;124;149;134;743;162
684;861;946;988;178;972
685;234;84;416;246;255
686;189;574;93;909;94
687;472;258;425;994;469
688;909;165;31;765;29
689;531;381;808;929;798
690;169;394;732;44;548
691;679;763;305;420;727
692;194;948;881;183;621
693;619;466;862;357;833
694;735;52;678;604;597
695;846;843;904;265;435
696;594;314;641;76;687
697;316;699;510;914;648
698;574;822;856;881;186
699;553;661;956;462;633
700;971;397;716;767;588
701;974;455;707;88;948
702;584;860;629;456;920
703;298;936;762;422;837
704;527;671;699;884;46
705;90;713;390;378;675
706;100;54;110;161;304
707;81;14;323;62;84
708;488;505;758;801;377
709;216;21;417;844;444
710;447;527;683;906;750
711;825;450;515;843;840
712;597;971;378;481;611
713;470;95;528;589;833
714;766;360;135;122;618
715;34;56;240;497;986
716;989;78;215;345;856
717;524;278;201;939;838
718;269;223;403;570;470
719;60;793;797;67;798
720;711;226;377;273;171
721;83;723;54;994;271
722;964;42;893;518;995
723;226;755;311;625;993
724;296;68;670;349;292
725;928;20;358;819;258
726;15;391;678;563;915
727;137;63;780;364;852
728;67;971;94;630;396
729;937;390;840;65;148
730;738;622;526;991;246
731;316;752;643;619;190
732;91;430;52;175;669
733;717;710;153;268;428
734;688;417;356;103;719
735;688;605;307;253;553
736;314;621;638;74;214
737;545;241;945;298;943
738;744;64;883;635;887
739;221;139;584;681;396
740;274;607;196;502;359
741;500;135;351;215;335
742;74;851;430;143;759
743;110;659;309;64;542
744;244;594;622;569;980
745;722;195;467;926;744
746;566;888;585;243;88
747;623;461;729;9;620
748;842;106;62;508;40
749;514;791;217;58;958
750;792;283;12;354;625
751;431;393;531;867;652
752;4;112;674;30;765
753;576;749;810;545;104
754;515;943;659;726;127
755;967;548;582;686;211
756;101;527;366;583;588
757;387;627;513;910;916
758;106;580;291;701;790
759;545;968;690;676;961
760;267;641;988;353;539
761;186;583;551;9;23
762;780;83;455;139;53
763;728;8;681;592;653
764;354;36;360;845;466
765;259;601;207;944;496
766;672;935;695;791;154
767;886;713;462;709;491
768;614;935;891;987;968
769;350;613;260;10;369
770;246;184;336;857;763
771;961;142;892;317;255
772;97;378;987;531;487
773;974;70;928;142;420
774;188;312;855;980;994
775;170;827;168;951;743
776;179;158;998;153;46
777;277;611;915;867;363
778;865;469;278;688;767
779;625;327;356;828;935
780;590;434;485;861;859
781;757;552;220;91;105
782;46;621;294;51;622
783;288;220;611;338;594
784;376;987;387;650;84
785;494;862;697;85;592
786;652;240;77;308;484
787;265;716;776;20;438
788;719;300;480;433;280
789;191;841;902;269;572
790;482;894;19;664;595
791;720;370;147;836;560
792;771;502;674;597;604
793;697;833;339;364;546
794;801;667;837;518;539
795;794;297;756;875;49
796;451;316;639;411;598
797;469;13;495;100;928
798;678;517;667;761;868
799;502;488;968;493;150
800;359;685;246;860;273
801;288;356;540;164;946
802;696;574;896;861;250
803;287;307;659;169;910
804;852;341;713;594;271
805;40;84;405;537;605
806;334;308;856;586;293
807;560;479;256;778;638
808;817;878;789;361;725
809;540;255;280;793;373
810;949;422;848;100;972
811;772;567;711;210;606
812;399;899;249;454;964
813;94;638;385;582;775
814;779;274;44;597;143
815;710;121;648;93;877
816;63;561;356;312;406
817;685;137;44;9;556
818;859;810;807;264;33
819;530;646;269;820;691
820;465;287;283;420;624
821;854;904;92;3;195
822;759;857;878;196;989
823;134;531;954;890;482
824;623;679;729;76;989
825;133;476;162;728;804
826;655;455;903;395;615
827;935;430;601;845;299
828;71;641;449;297;323
829;598;499;43;638;399
830;246;945;926;760;146
831;409;488;382;354;912
832;632;75;384;616;772
833;281;72;489;790;435
834;928;549;190;898;213
835;15;329;745;309;986
836;400;977;730;89;632
837;224;975;286;519;347
838;506;575;738;305;134
839;122;203;98;60;502
840;933;900;384;799;322
841;174;908;553;359;4
842;387;546;46;771;129
843;646;317;363;879;622
844;238;21;481;983;825
845;473;24;848;148;68
846;600;526;141;755;102
847;363;881;327;453;61
848;458;837;144;745;149
849;798;450;481;426;647
850;830;319;23;805;85
851;700;559;17;999;45
852;198;661;989;200;666
853;488;109;3;563;919
854;889;167;586;940;310
855;451;107;139;712;744
856;376;943;416;524;167
857;806;401;372;211;815
858;90;65;806;299;676
859;761;577;909;182;666
860;196;547;616;665;425
861;159;697;109;302;878
862;950;748;679;880;709
863;896;534;42;973;713
864;206;691;301;895;842
865;733;755;184;774;715
866;936;480;727;300;563
867;304;912;748;300;525
868;298;982;758;846;95
869;88;719;252;852;896
870;702;653;206;961;943
871;648;894;17;888;285
872;152;689;170;938;657
873;220;346;971;39;583
874;303;596;444;723;392
875;542;699;751;461;629
876;635;895;203;871;397
877;34;385;129;72;26
878;658;759;33;941;647
879;813;347;131;564;858
880;702;610;333;855;625
881;406;687;92;871;852
882;674;986;247;928;468
883;667;66;293;888;926
884;234;186;180;143;34
885;698;113;676;621;247
886;510;268;680;561;513
887;301;64;164;862;626
888;498;507;321;496;477
889;884;934;370;370;835
890;222;773;859;799;930
891;473;572;267;261;580
892;964;691;979;87;29
893;493;944;252;737;848
894;335;641;500;954;80
895;862;940;972;278;763
896;798;747;784;58;520
897;518;210;188;544;278
898;768;904;703;776;620
899;12;870;831;947;134
900;545;445;136;920;356
901;577;78;662;173;40
902;933;306;279;15;65
903;972;471;604;281;413
904;457;763;761;34;28
905;936;971;924;37;967
906;704;821;371;108;991
907;945;334;314;452;532
908;242;437;10;431;642
909;118;507;884;645;394
910;889;419;105;906;378
911;166;814;129;147;796
912;221;106;953;112;45
913;415;432;743;648;456
914;126;464;383;692;355
915;754;841;439;687;445
916;802;129;159;937;689
917;126;12;469;662;586
918;962;426;785;621;481
919;959;827;414;774;272
920;623;791;257;56;396
921;558;903;408;442;789
922;269;186;130;899;684
923;917;629;110;277;971
924;266;503;421;461;361
925;833;120;921;550;705
926;661;484;96;170;751
927;305;274;175;979;448
928;126;471;114;319;79
929;184;246;490;516;729
930;917;622;802;70;294
931;374;630;990;113;518
932;40;452;766;142;735
933;373;28;329;870;712
934;308;671;242;527;714
935;438;71;208;484;630
936;520;197;73;796;633
937;272;743;293;209;852
938;212;419;821;436;577
939;365;352;97;380;626
940;86;59;418;184;384
941;524;466;831;355;31
942;251;89;662;665;528
943;496;538;264;695;286
944;462;506;557;515;254
945;346;148;103;799;399
946;914;980;667;535;331
947;419;280;692;959;373
948;676;349;761;230;134
949;659;104;484;545;928
950;431;91;26;188;662
951;472;809;924;649;506
952;819;37;4;453;18
953;664;198;265;987;353
954;166;744;408;203;618
955;412;120;912;70;661
956;222;336;427;862;438
957;535;103;366;23;296
958;749;586;364;552;444
959;75;214;411;723;777
960;519;144;312;812;997
961;859;582;139;596;195
962;909;699;487;443;817
963;601;536;972;611;636
964;303;958;527;286;268
965;654;960;922;726;240
966;374;68;306;912;835
967;262;808;498;835;282
968;311;359;25;810;801
969;967;251;361;146;803
970;506;769;607;942;951
971;635;66;539;148;671
972;752;400;419;521;510
973;96;748;31;948;813
974;790;774;474;7;518
975;739;299;719;5;902
976;103;428;869;420;655
977;719;677;144;253;64
978;762;240;672;143;860
979;201;321;746;165;56
980;155;318;93;199;20
981;96;916;340;907;16
982;440;521;801;853;571
983;258;380;290;316;735
984;290;208;925;251;229
985;81;18;629;261;168
986;963;68;34;318;636
987;177;382;660;235;267
988;300;711;305;65;366
989;828;914;230;337;629
990;776;235;350;248;981
991;518;191;265;84;145
992;253;398;474;583;296
993;634;921;682;387;109
994;158;721;665;188;130
995;687;961;344;989;529
996;35;841;833;756;53
997;400;943;516;953;147
998;938;960;936;209;849
999;919;554;325;649;66
1000;33;902;121;102;997
1001;869;293;854;519;58
1002;335;844;290;42;172
1003;526;871;85;506;121
1004;174;974;547;136;844
1005;945;195;280;358;425
1006;108;353;752;19;620
1007;971;878;281;8;111
1008;605;381;797;22;626
1009;419;784;931;784;727
1010;788;164;738;122;123
1011;562;685;520;742;918
1012;503;83;775;391;163
1013;960;758;940;813;706
1014;136;29;735;231;645
1015;188;247;774;662;631
1016;678;918;832;60;905
1017;307;48;325;338;123
1018;22;946;770;644;446
1019;696;768;465;121;422
1020;438;635;683;789;884
1021;140;722;983;579;797
1022;643;997;252;531;170
1023;956;273;668;529;182
1024;286;65;433;850;224
1025;894;20;457;13;437
1026;934;160;275;26;682
1027;770;350;442;138;911
1028;307;589;843;171;589
1029;379;681;447;79;788
1030;546;41;504;796;143
1031;750;199;110;872;758
1032;516;167;446;739;254
1033;128;67;865;455;585
1034;822;964;283;378;563
1035;474;84;87;689;808
1036;571;823;120;180;899
1037;393;111;515;749;790
1038;983;65;621;534;192
1039;960;622;770;373;284
1040;953;74;199;29;160
1041;944;607;272;405;645
1042;536;851;637;762;630
1043;960;600;809;712;273
1044;756;77;899;36;727
1045;282;928;173;838;201
1046;305;39;980;928;601
1047;940;949;87;73;519
1048;885;682;818;575;831
1049;191;438;919;67;309
1050;510;655;673;432;119
1051;414;195;958;94;657
1052;23;485;225;846;839
1053;700;449;687;518;192
1054;685;37;997;97;473
1055;795;580;816;878;33
1056;537;402;178;774;236
1057;817;656;680;940;260
1058;572;962;796;372;554
1059;759;641;248;365;355
1060;610;81;119;981;671
1061;256;458;146;679;287
1062;944;735;538;627;342
1063;502;134;778;5;13
1064;252;707;643;523;907
1065;881;483;439;459;53
1066;564;67;239;918;420
1067;733;349;56;184;564
1068;118;558;111;358;678
1069;371;423;177;992;651
1070;368;427;615;475;534
1071;6;573;726;257;929
1072;701;597;109;48;416
1073;911;74;422;604;594
1074;87;91;370;978;288
1075;699;763;538;531;475
1076;418;249;381;36;631
1077;294;714;259;183;154
1078;702;729;454;570;737
1079;847;28;50;271;338
1080;305;475;497;514;645
1081;510;224;934;561;27
1082;514;951;501;587;87
1083;638;75;522;798;428
1084;996;264;622;74;797
1085;746;866;384;524;43
1086;256;857;183;880;171
1087;840;21;616;638;921
1088;748;780;410;593;101
1089;425;846;206;225;674
1090;148;178;712;101;100
1091;722;973;562;401;467
1092;254;387;479;76;674
1093;776;925;795;46;946
1094;656;573;400;372;842
1095;496;733;230;988;245
1096;755;957;681;262;713
1097;275;596;321;456;581
1098;259;299;757;801;738
1099;428;484;250;177;916
1100;177;333;981;343;934
1101;394;590;498;132;848
1102;171;735;537;664;881
1103;634;548;240;994;799
1104;366;7;830;50;172
1105;881;466;985;204;207
1106;361;787;377;414;504
1107;887;200;675;570;478
1108;727;726;817;274;768
1109;638;733;59;613;996
1110;440;841;329;780;592
1111;735;253;770;872;241
1112;585;351;120;999;82
1113;426;845;223;971;761
1114;962;25;759;620;928
1115;372;323;301;11;861
1116;60;595;531;994;67
1117;656;426;609;614;303
1118;554;117;870;571;217
1119;969;545;797;940;639
1120;612;788;229;526;619
1121;622;892;366;648;372
1122;876;511;575;652;660
1123;390;604;654;676;925
1124;446;41;369;831;16
1125;789;522;482;603;637
1126;47;55;20;761;759
1127;998;231;166;496;304
1128;958;873;483;258;248
1129;690;918;768;713;785
1130;288;605;468;489;747
1131;124;583;496;927;341
1132;843;643;770;858;444
1133;847;677;946;104;815
1134;476;543;604;902;457
1135;337;291;818;416;513
1136;714;602;604;79;164
1137;493;961;854;730;524
1138;257;313;709;491;448
1139;78;45;586;98;413
1140;972;584;804;518;151
1141;863;725;84;818;517
1142;951;146;866;473;982
1143;646;90;232;750;642
1144;127;76;662;23;22
1145;563;531;525;225;132
1146;457;43;727;197;432
1147;804;894;861;107;466
1148;713;940;738;301;426
1149;392;156;646;788;813
