table0_id;table1_id;table2_id;Amount
227;227;227;709
228;228;228;417
229;229;229;839
230;230;230;703
231;231;231;808
232;232;232;421
233;233;233;992
234;234;234;630
235;235;235;539
236;236;236;363
237;237;237;593
238;238;238;794
239;239;239;531
240;240;240;996
241;241;241;542
242;242;242;569
243;243;243;969
244;244;244;414
245;245;245;744
246;246;246;622
247;247;247;636
248;248;248;656
249;249;249;334
250;250;250;524
251;251;251;726
252;252;252;907
253;253;253;818
254;254;254;919
255;255;255;508
256;256;256;509
257;257;257;427
258;258;258;528
259;259;259;356
260;260;260;580
261;261;261;950
262;262;262;668
263;263;263;344
264;264;264;924
265;265;265;803
266;266;266;524
267;267;267;762
268;268;268;379
269;269;269;401
270;270;270;915
271;271;271;361
272;272;272;569
273;273;273;323
274;274;274;433
275;275;275;871
276;276;276;809
277;277;277;722
278;278;278;435
279;279;279;715
280;280;280;515
281;281;281;538
282;282;282;482
283;283;283;507
284;284;284;418
285;285;285;687
286;286;286;392
287;287;287;407
288;288;288;992
289;289;289;688
290;290;290;996
291;291;291;922
292;292;292;650
293;293;293;516
294;294;294;936
295;295;295;903
296;296;296;569
297;297;297;838
298;298;298;314
299;299;299;502
300;300;300;942
301;301;301;473
302;302;302;935
303;303;303;478
304;304;304;578
305;305;305;944
306;306;306;986
307;307;307;599
308;308;308;944
309;309;309;766
310;310;310;575
311;311;311;913
312;312;312;468
313;313;313;939
314;314;314;342
315;315;315;742
316;316;316;965
317;317;317;322
318;318;318;357
319;319;319;858
320;320;320;564
321;321;321;652
322;322;322;575
323;323;323;300
324;324;324;542
325;325;325;452
326;326;326;730
327;327;327;919
328;328;328;804
329;329;329;886
330;330;330;361
331;331;331;716
332;332;332;604
333;333;333;378
334;334;334;662
335;335;335;971
336;336;336;700
337;337;337;549
338;338;338;861
339;339;339;862
340;340;340;391
341;341;341;438
342;342;342;683
343;343;343;933
344;344;344;539
345;345;345;869
346;346;346;620
347;347;347;695
348;348;348;771
349;349;349;442
350;350;350;884
351;351;351;984
352;352;352;991
353;353;353;939
354;354;354;652
355;355;355;419
356;356;356;582
357;357;357;925
358;358;358;525
359;359;359;421
360;360;360;587
361;361;361;574
362;362;362;448
363;363;363;421
364;364;364;617
365;365;365;913
366;366;366;685
367;367;367;472
368;368;368;910
369;369;369;683
370;370;370;731
371;371;371;644
372;372;372;470
373;373;373;681
374;374;374;662
375;375;375;888
376;376;376;932
377;377;377;335
378;378;378;888
379;379;379;765
380;380;380;563
381;381;381;694
382;382;382;391
383;383;383;841
384;384;384;915
385;385;385;776
386;386;386;968
387;387;387;851
388;388;388;414
389;389;389;752
390;390;390;492
391;391;391;301
392;392;392;873
393;393;393;939
394;394;394;642
395;395;395;947
396;396;396;484
397;397;397;695
398;398;398;730
399;399;399;337
400;400;400;586
401;401;401;755
402;402;402;791
403;403;403;553
404;404;404;367
405;405;405;607
406;406;406;569
407;407;407;479
408;408;408;525
409;409;409;475
410;410;410;533
411;411;411;719
412;412;412;315
413;413;413;887
414;414;414;790
415;415;415;950
416;416;416;804
417;417;417;945
418;418;418;469
419;419;419;782
420;420;420;676
421;421;421;541
422;422;422;796
423;423;423;817
424;424;424;473
425;425;425;372
426;426;426;826
427;427;427;433
428;428;428;900
429;429;429;308
430;430;430;761
431;431;431;753
432;432;432;449
433;433;433;418
434;434;434;482
435;435;435;977
436;436;436;720
437;437;437;925
438;438;438;510
439;439;439;336
440;440;440;449
441;441;441;680
442;442;442;423
443;443;443;933
444;444;444;869
445;445;445;630
446;446;446;884
447;447;447;580
448;448;448;730
449;449;449;450
450;450;450;702
451;451;451;829
452;452;452;855
453;453;453;819
454;454;454;572
455;455;455;513
456;456;456;308
457;457;457;535
458;458;458;747
459;459;459;920
460;460;460;617
461;461;461;619
462;462;462;944
463;463;463;422
464;464;464;956
465;465;465;704
466;466;466;650
467;467;467;936
468;468;468;352
469;469;469;525
470;470;470;579
471;471;471;610
472;472;472;362
473;473;473;495
474;474;474;946
475;475;475;321
476;476;476;310
477;477;477;838
478;478;478;615
479;479;479;744
480;480;480;732
481;481;481;753
482;482;482;788
483;483;483;366
484;484;484;845
485;485;485;342
486;486;486;657
487;487;487;383
488;488;488;397
489;489;489;525
490;490;490;686
491;491;491;652
492;492;492;972
493;493;493;604
494;494;494;599
495;495;495;546
496;496;496;333
497;497;497;844
498;498;498;570
499;499;499;530
500;500;500;536
501;501;501;924
502;502;502;640
503;503;503;982
504;504;504;460
505;505;505;842
506;506;506;351
507;507;507;531
508;508;508;496
509;509;509;627
510;510;510;420
511;511;511;639
512;512;512;679
513;513;513;950
514;514;514;316
515;515;515;969
516;516;516;680
517;517;517;764
518;518;518;504
519;519;519;302
520;520;520;932
521;521;521;817
522;522;522;994
523;523;523;630
524;524;524;851
525;525;525;955
526;526;526;610
527;527;527;912
528;528;528;821
529;529;529;300
530;530;530;845
531;531;531;314
532;532;532;462
533;533;533;748
534;534;534;320
535;535;535;681
536;536;536;602
537;537;537;694
538;538;538;912
539;539;539;608
540;540;540;984
541;541;541;585
542;542;542;488
543;543;543;369
544;544;544;863
545;545;545;679
546;546;546;865
547;547;547;483
548;548;548;544
549;549;549;404
550;550;550;908
551;551;551;927
552;552;552;889
553;553;553;933
554;554;554;722
555;555;555;342
556;556;556;685
557;557;557;961
558;558;558;505
559;559;559;897
560;560;560;890
561;561;561;929
562;562;562;324
563;563;563;927
564;564;564;480
565;565;565;312
566;566;566;817
567;567;567;830
568;568;568;480
569;569;569;620
570;570;570;775
571;571;571;488
572;572;572;536
573;573;573;486
574;574;574;961
575;575;575;972
576;576;576;978
577;577;577;420
578;578;578;537
579;579;579;735
580;580;580;610
581;581;581;478
582;582;582;736
583;583;583;623
584;584;584;513
585;585;585;746
586;586;586;854
587;587;587;971
588;588;588;631
589;589;589;588
590;590;590;319
591;591;591;945
592;592;592;717
593;593;593;533
594;594;594;971
595;595;595;310
596;596;596;997
597;597;597;327
598;598;598;669
599;599;599;782
600;600;600;974
601;601;601;833
602;602;602;596
603;603;603;598
604;604;604;411
605;605;605;985
606;606;606;569
607;607;607;712
608;608;608;471
609;609;609;382
610;610;610;969
611;611;611;443
612;612;612;847
613;613;613;346
614;614;614;925
615;615;615;596
616;616;616;918
617;617;617;805
618;618;618;674
619;619;619;864
620;620;620;773
621;621;621;416
622;622;622;752
623;623;623;348
624;624;624;769
625;625;625;862
626;626;626;614
627;627;627;434
628;628;628;459
629;629;629;321
630;630;630;828
631;631;631;782
632;632;632;945
633;633;633;335
634;634;634;420
635;635;635;903
636;636;636;788
637;637;637;716
638;638;638;886
639;639;639;650
640;640;640;868
641;641;641;836
642;642;642;523
643;643;643;629
644;644;644;800
645;645;645;960
646;646;646;639
647;647;647;329
648;648;648;660
649;649;649;889
650;650;650;493
651;651;651;883
652;652;652;692
653;653;653;985
654;654;654;850
655;655;655;815
656;656;656;394
657;657;657;302
658;658;658;813
659;659;659;498
660;660;660;689
661;661;661;833
662;662;662;448
663;663;663;946
664;664;664;603
665;665;665;781
666;666;666;999
667;667;667;730
668;668;668;432
669;669;669;701
670;670;670;728
671;671;671;394
672;672;672;668
673;673;673;666
674;674;674;489
675;675;675;851
676;676;676;540
677;677;677;552
678;678;678;313
679;679;679;423
680;680;680;477
681;681;681;792
682;682;682;944
683;683;683;940
684;684;684;700
685;685;685;335
686;686;686;456
687;687;687;353
688;688;688;724
689;689;689;397
690;690;690;951
691;691;691;812
692;692;692;780
693;693;693;967
694;694;694;933
695;695;695;534
696;696;696;741
697;697;697;378
698;698;698;981
699;699;699;380
700;700;700;624
701;701;701;459
702;702;702;374
703;703;703;443
704;704;704;429
705;705;705;462
706;706;706;856
707;707;707;612
708;708;708;808
709;709;709;513
710;710;710;658
711;711;711;749
712;712;712;581
713;713;713;437
714;714;714;968
715;715;715;922
716;716;716;386
717;717;717;660
718;718;718;562
719;719;719;779
720;720;720;845
721;721;721;350
722;722;722;735
723;723;723;696
724;724;724;306
725;725;725;962
726;726;726;949
727;727;727;615
728;728;728;965
729;729;729;700
730;730;730;426
731;731;731;503
732;732;732;448
733;733;733;814
734;734;734;941
735;735;735;585
736;736;736;668
737;737;737;695
738;738;738;735
739;739;739;750
740;740;740;557
741;741;741;486
742;742;742;457
743;743;743;681
744;744;744;925
745;745;745;824
746;746;746;732
747;747;747;972
748;748;748;608
749;749;749;484
750;750;750;954
751;751;751;311
752;752;752;799
753;753;753;480
754;754;754;921
755;755;755;945
756;756;756;810
757;757;757;523
758;758;758;837
759;759;759;387
760;760;760;756
761;761;761;799
762;762;762;890
763;763;763;377
764;764;764;879
765;765;765;614
766;766;766;381
767;767;767;393
768;768;768;919
769;769;769;509
770;770;770;584
771;771;771;808
772;772;772;304
773;773;773;382
774;774;774;683
775;775;775;356
776;776;776;575
777;777;777;572
778;778;778;772
779;779;779;919
780;780;780;485
781;781;781;339
782;782;782;385
783;783;783;301
784;784;784;328
785;785;785;671
786;786;786;815
787;787;787;559
788;788;788;686
789;789;789;518
790;790;790;329
791;791;791;695
792;792;792;378
793;793;793;372
794;794;794;513
795;795;795;447
796;796;796;650
797;797;797;326
798;798;798;614
799;799;799;482
800;800;800;489
801;801;801;663
802;802;802;447
803;803;803;321
804;804;804;859
805;805;805;696
806;806;806;694
807;807;807;886
808;808;808;645
809;809;809;868
810;810;810;780
811;811;811;463
812;812;812;675
813;813;813;539
814;814;814;490
815;815;815;442
816;816;816;771
817;817;817;489
818;818;818;774
819;819;819;441
820;820;820;311
821;821;821;360
822;822;822;523
823;823;823;985
824;824;824;646
825;825;825;445
826;826;826;942
827;827;827;936
828;828;828;418
829;829;829;626
830;830;830;672
831;831;831;754
832;832;832;853
833;833;833;486
834;834;834;340
835;835;835;790
836;836;836;347
837;837;837;871
838;838;838;651
839;839;839;364
840;840;840;329
841;841;841;588
842;842;842;597
843;843;843;712
844;844;844;565
845;845;845;638
846;846;846;653
847;847;847;426
848;848;848;452
849;849;849;539
850;850;850;995
851;851;851;752
852;852;852;838
853;853;853;661
854;854;854;835
855;855;855;935
856;856;856;314
857;857;857;912
858;858;858;321
859;859;859;307
860;860;860;982
861;861;861;698
862;862;862;971
863;863;863;491
864;864;864;861
865;865;865;331
866;866;866;305
867;867;867;993
868;868;868;559
869;869;869;793
870;870;870;530
871;871;871;838
872;872;872;532
873;873;873;527
874;874;874;782
875;875;875;471
876;876;876;675
877;877;877;528
878;878;878;706
879;879;879;773
880;880;880;775
881;881;881;705
882;882;882;887
883;883;883;860
884;884;884;353
885;885;885;965
886;886;886;529
887;887;887;353
888;888;888;983
889;889;889;844
890;890;890;774
891;891;891;311
892;892;892;862
893;893;893;531
894;894;894;989
895;895;895;544
896;896;896;403
897;897;897;819
898;898;898;886
899;899;899;304
900;900;900;382
901;901;901;761
902;902;902;943
903;903;903;887
904;904;904;312
905;905;905;386
906;906;906;904
907;907;907;890
908;908;908;519
909;909;909;602
910;910;910;397
911;911;911;479
912;912;912;623
913;913;913;333
914;914;914;426
915;915;915;548
916;916;916;937
917;917;917;528
918;918;918;307
919;919;919;341
920;920;920;738
921;921;921;478
922;922;922;877
923;923;923;995
924;924;924;781
925;925;925;859
926;926;926;670
927;927;927;372
928;928;928;750
929;929;929;972
930;930;930;310
931;931;931;824
932;932;932;626
933;933;933;594
934;934;934;812
935;935;935;959
936;936;936;661
937;937;937;720
938;938;938;749
939;939;939;917
940;940;940;477
941;941;941;900
942;942;942;513
943;943;943;836
944;944;944;369
945;945;945;616
946;946;946;548
947;947;947;735
948;948;948;375
949;949;949;328
950;950;950;303
951;951;951;338
952;952;952;725
953;953;953;973
954;954;954;802
955;955;955;764
956;956;956;624
957;957;957;344
958;958;958;922
959;959;959;315
960;960;960;643
961;961;961;995
962;962;962;552
963;963;963;963
964;964;964;732
965;965;965;517
966;966;966;364
967;967;967;696
968;968;968;920
969;969;969;889
970;970;970;662
971;971;971;928
972;972;972;913
973;973;973;376
974;974;974;457
975;975;975;426
976;976;976;374
977;977;977;374
978;978;978;406
979;979;979;769
980;980;980;686
981;981;981;991
982;982;982;436
983;983;983;740
984;984;984;757
985;985;985;755
986;986;986;709
987;987;987;359
988;988;988;714
989;989;989;863
990;990;990;906
991;991;991;724
992;992;992;815
993;993;993;564
994;994;994;501
995;995;995;838
996;996;996;803
997;997;997;485
998;998;998;698
999;999;999;901
1000;1000;1000;393
1001;1001;1001;808
1002;1002;1002;536
1003;1003;1003;800
1004;1004;1004;691
1005;1005;1005;613
1006;1006;1006;837
1007;1007;1007;645
1008;1008;1008;832
1009;1009;1009;758
1010;1010;1010;869
1011;1011;1011;670
1012;1012;1012;933
1013;1013;1013;902
1014;1014;1014;817
1015;1015;1015;610
1016;1016;1016;508
1017;1017;1017;708
1018;1018;1018;831
1019;1019;1019;827
1020;1020;1020;487
1021;1021;1021;883
1022;1022;1022;697
1023;1023;1023;660
1024;1024;1024;713
1025;1025;1025;647
1026;1026;1026;711
1027;1027;1027;409
1028;1028;1028;686
1029;1029;1029;458
1030;1030;1030;481
1031;1031;1031;616
1032;1032;1032;556
1033;1033;1033;977
1034;1034;1034;930
1035;1035;1035;344
1036;1036;1036;978
1037;1037;1037;404
1038;1038;1038;728
1039;1039;1039;908
1040;1040;1040;386
1041;1041;1041;917
1042;1042;1042;663
1043;1043;1043;700
1044;1044;1044;502
1045;1045;1045;595
1046;1046;1046;604
1047;1047;1047;547
1048;1048;1048;548
1049;1049;1049;740
1050;1050;1050;849
1051;1051;1051;799
1052;1052;1052;516
1053;1053;1053;801
1054;1054;1054;326
1055;1055;1055;541
1056;1056;1056;541
1057;1057;1057;741
1058;1058;1058;992
1059;1059;1059;610
1060;1060;1060;907
1061;1061;1061;988
1062;1062;1062;576
1063;1063;1063;477
1064;1064;1064;921
1065;1065;1065;930
1066;1066;1066;662
1067;1067;1067;636
1068;1068;1068;420
1069;1069;1069;979
1070;1070;1070;672
1071;1071;1071;521
1072;1072;1072;492
1073;1073;1073;709
1074;1074;1074;327
1075;1075;1075;801
1076;1076;1076;363
1077;1077;1077;702
1078;1078;1078;638
1079;1079;1079;983
1080;1080;1080;861
1081;1081;1081;647
1082;1082;1082;785
1083;1083;1083;619
1084;1084;1084;633
1085;1085;1085;367
1086;1086;1086;946
1087;1087;1087;793
1088;1088;1088;552
1089;1089;1089;756
1090;1090;1090;495
1091;1091;1091;332
1092;1092;1092;572
1093;1093;1093;300
1094;1094;1094;718
1095;1095;1095;413
1096;1096;1096;696
1097;1097;1097;914
1098;1098;1098;341
1099;1099;1099;725
1100;1100;1100;801
1101;1101;1101;886
1102;1102;1102;827
1103;1103;1103;584
1104;1104;1104;715
1105;1105;1105;585
1106;1106;1106;391
1107;1107;1107;984
1108;1108;1108;565
1109;1109;1109;435
1110;1110;1110;963
1111;1111;1111;325
1112;1112;1112;779
1113;1113;1113;516
1114;1114;1114;357
1115;1115;1115;790
1116;1116;1116;580
1117;1117;1117;437
1118;1118;1118;973
1119;1119;1119;901
1120;1120;1120;990
1121;1121;1121;870
1122;1122;1122;358
1123;1123;1123;603
1124;1124;1124;874
1125;1125;1125;928
1126;1126;1126;574
1127;1127;1127;369
1128;1128;1128;487
1129;1129;1129;854
1130;1130;1130;360
1131;1131;1131;334
1132;1132;1132;975
1133;1133;1133;734
1134;1134;1134;422
1135;1135;1135;881
1136;1136;1136;700
1137;1137;1137;559
1138;1138;1138;747
1139;1139;1139;355
1140;1140;1140;527
1141;1141;1141;505
1142;1142;1142;588
1143;1143;1143;516
1144;1144;1144;433
1145;1145;1145;314
1146;1146;1146;395
1147;1147;1147;745
1148;1148;1148;490
1149;1149;1149;720
1150;1150;1150;523
1151;1151;1151;564
1152;1152;1152;757
1153;1153;1153;896
1154;1154;1154;391
1155;1155;1155;800
1156;1156;1156;542
1157;1157;1157;776
1158;1158;1158;402
1159;1159;1159;921
1160;1160;1160;816
1161;1161;1161;442
1162;1162;1162;770
1163;1163;1163;631
1164;1164;1164;441
1165;1165;1165;418
1166;1166;1166;920
1167;1167;1167;719
1168;1168;1168;385
1169;1169;1169;729
1170;1170;1170;851
1171;1171;1171;865
1172;1172;1172;863
1173;1173;1173;960
1174;1174;1174;582
1175;1175;1175;725
1176;1176;1176;346
1177;1177;1177;901
1178;1178;1178;688
1179;1179;1179;460
1180;1180;1180;612
1181;1181;1181;788
1182;1182;1182;654
1183;1183;1183;383
1184;1184;1184;900
1185;1185;1185;936
1186;1186;1186;914
1187;1187;1187;580
1188;1188;1188;832
1189;1189;1189;573
1190;1190;1190;980
1191;1191;1191;477
1192;1192;1192;444
1193;1193;1193;757
1194;1194;1194;370
1195;1195;1195;301
1196;1196;1196;304
1197;1197;1197;454
1198;1198;1198;764
1199;1199;1199;627
1200;1200;1200;621
1201;1201;1201;511
1202;1202;1202;748
1203;1203;1203;842
1204;1204;1204;354
1205;1205;1205;301
1206;1206;1206;605
1207;1207;1207;835
1208;1208;1208;846
1209;1209;1209;681
1210;1210;1210;523
1211;1211;1211;801
1212;1212;1212;365
1213;1213;1213;423
1214;1214;1214;339
1215;1215;1215;573
1216;1216;1216;592
1217;1217;1217;966
1218;1218;1218;840
1219;1219;1219;959
1220;1220;1220;617
1221;1221;1221;959
1222;1222;1222;941
1223;1223;1223;785
1224;1224;1224;555
1225;1225;1225;393
1226;1226;1226;958
1227;1227;1227;323
1228;1228;1228;335
1229;1229;1229;920
1230;1230;1230;681
1231;1231;1231;494
1232;1232;1232;525
1233;1233;1233;709
1234;1234;1234;574
1235;1235;1235;703
1236;1236;1236;817
1237;1237;1237;729
1238;1238;1238;826
1239;1239;1239;814
1240;1240;1240;753
1241;1241;1241;900
1242;1242;1242;793
1243;1243;1243;529
1244;1244;1244;358
1245;1245;1245;923
1246;1246;1246;496
1247;1247;1247;747
1248;1248;1248;475
1249;1249;1249;912
1250;1250;1250;829
1251;1251;1251;662
1252;1252;1252;370
1253;1253;1253;512
1254;1254;1254;955
1255;1255;1255;624
1256;1256;1256;934
1257;1257;1257;489
1258;1258;1258;449
1259;1259;1259;696
1260;1260;1260;439
1261;1261;1261;478
1262;1262;1262;693
1263;1263;1263;995
1264;1264;1264;822
1265;1265;1265;477
1266;1266;1266;678
1267;1267;1267;362
1268;1268;1268;529
1269;1269;1269;366
1270;1270;1270;693
1271;1271;1271;666
1272;1272;1272;794
1273;1273;1273;870
1274;1274;1274;348
1275;1275;1275;924
1276;1276;1276;490
1277;1277;1277;572
1278;1278;1278;985
1279;1279;1279;358
1280;1280;1280;896
1281;1281;1281;929
1282;1282;1282;395
1283;1283;1283;582
1284;1284;1284;302
1285;1285;1285;836
1286;1286;1286;646
1287;1287;1287;353
1288;1288;1288;694
1289;1289;1289;697
1290;1290;1290;873
1291;1291;1291;726
1292;1292;1292;681
1293;1293;1293;375
1294;1294;1294;689
1295;1295;1295;683
1296;1296;1296;554
1297;1297;1297;531
1298;1298;1298;357
1299;1299;1299;985
1300;1300;1300;679
1301;1301;1301;482
1302;1302;1302;562
1303;1303;1303;607
1304;1304;1304;678
1305;1305;1305;737
1306;1306;1306;562
1307;1307;1307;904
1308;1308;1308;695
1309;1309;1309;617
1310;1310;1310;334
1311;1311;1311;793
1312;1312;1312;858
1313;1313;1313;525
1314;1314;1314;636
1315;1315;1315;401
1316;1316;1316;562
1317;1317;1317;555
1318;1318;1318;903
1319;1319;1319;909
1320;1320;1320;730
1321;1321;1321;447
1322;1322;1322;705
1323;1323;1323;732
1324;1324;1324;635
1325;1325;1325;593
1326;1326;1326;638
1327;1327;1327;622
1328;1328;1328;850
1329;1329;1329;806
1330;1330;1330;558
1331;1331;1331;357
1332;1332;1332;417
1333;1333;1333;935
1334;1334;1334;578
1335;1335;1335;618
1336;1336;1336;529
1337;1337;1337;538
1338;1338;1338;374
1339;1339;1339;620
1340;1340;1340;365
1341;1341;1341;643
1342;1342;1342;866
1343;1343;1343;837
1344;1344;1344;813
1345;1345;1345;885
1346;1346;1346;685
1347;1347;1347;856
1348;1348;1348;463
1349;1349;1349;609
1350;1350;1350;471
1351;1351;1351;869
1352;1352;1352;417
1353;1353;1353;911
1354;1354;1354;828
1355;1355;1355;382
1356;1356;1356;902
1357;1357;1357;827
1358;1358;1358;706
1359;1359;1359;343
1360;1360;1360;736
1361;1361;1361;362
1362;1362;1362;776
1363;1363;1363;990
1364;1364;1364;506
1365;1365;1365;417
1366;1366;1366;868
1367;1367;1367;712
1368;1368;1368;893
1369;1369;1369;463
1370;1370;1370;632
1371;1371;1371;748
1372;1372;1372;522
1373;1373;1373;639
1374;1374;1374;305
1375;1375;1375;902
1376;1376;1376;637
1377;1377;1377;708
1378;1378;1378;659
1379;1379;1379;676
1380;1380;1380;575
1381;1381;1381;485
1382;1382;1382;339
1383;1383;1383;873
1384;1384;1384;334
1385;1385;1385;764
1386;1386;1386;873
1387;1387;1387;500
1388;1388;1388;867
1389;1389;1389;354
1390;1390;1390;667
1391;1391;1391;959
1392;1392;1392;492
1393;1393;1393;637
1394;1394;1394;339
1395;1395;1395;863
1396;1396;1396;515
1397;1397;1397;807
1398;1398;1398;889
1399;1399;1399;328
1400;1400;1400;713
1401;1401;1401;306
1402;1402;1402;314
1403;1403;1403;814
1404;1404;1404;455
1405;1405;1405;969
1406;1406;1406;511
1407;1407;1407;506
1408;1408;1408;384
1409;1409;1409;509
1410;1410;1410;542
1411;1411;1411;517
1412;1412;1412;639
1413;1413;1413;499
1414;1414;1414;958
1415;1415;1415;486
1416;1416;1416;713
1417;1417;1417;398
1418;1418;1418;332
1419;1419;1419;920
1420;1420;1420;643
1421;1421;1421;374
1422;1422;1422;642
1423;1423;1423;489
1424;1424;1424;500
1425;1425;1425;686
1426;1426;1426;734
1427;1427;1427;796
1428;1428;1428;954
1429;1429;1429;359
1430;1430;1430;949
1431;1431;1431;792
1432;1432;1432;775
1433;1433;1433;373
1434;1434;1434;306
1435;1435;1435;401
1436;1436;1436;836
1437;1437;1437;600
1438;1438;1438;822
1439;1439;1439;615
1440;1440;1440;661
1441;1441;1441;497
1442;1442;1442;882
1443;1443;1443;640
1444;1444;1444;662
1445;1445;1445;900
1446;1446;1446;413
1447;1447;1447;593
1448;1448;1448;613
1449;1449;1449;745
1450;1450;1450;462
1451;1451;1451;850
1452;1452;1452;940
1453;1453;1453;646
1454;1454;1454;803
1455;1455;1455;500
1456;1456;1456;691
1457;1457;1457;803
1458;1458;1458;924
1459;1459;1459;977
1460;1460;1460;332
1461;1461;1461;989
1462;1462;1462;649
1463;1463;1463;409
1464;1464;1464;457
1465;1465;1465;916
1466;1466;1466;634
1467;1467;1467;617
1468;1468;1468;917
1469;1469;1469;821
1470;1470;1470;502
1471;1471;1471;907
1472;1472;1472;498
1473;1473;1473;712
1474;1474;1474;547
1475;1475;1475;510
1476;1476;1476;752
1477;1477;1477;354
1478;1478;1478;972
1479;1479;1479;744
1480;1480;1480;430
1481;1481;1481;992
1482;1482;1482;490
1483;1483;1483;929
1484;1484;1484;901
1485;1485;1485;554
1486;1486;1486;729
1487;1487;1487;507
1488;1488;1488;839
1489;1489;1489;767
1490;1490;1490;698
1491;1491;1491;476
1492;1492;1492;629
1493;1493;1493;997
1494;1494;1494;894
1495;1495;1495;519
1496;1496;1496;405
1497;1497;1497;661
1498;1498;1498;537
1499;1499;1499;331
1500;1500;1500;959
1501;1501;1501;738
1502;1502;1502;735
1503;1503;1503;906
1504;1504;1504;339
1505;1505;1505;718
1506;1506;1506;890
1507;1507;1507;769
1508;1508;1508;506
1509;1509;1509;871
1510;1510;1510;665
1511;1511;1511;896
1512;1512;1512;658
1513;1513;1513;728
1514;1514;1514;688
1515;1515;1515;898
1516;1516;1516;903
1517;1517;1517;640
1518;1518;1518;331
1519;1519;1519;886
1520;1520;1520;855
1521;1521;1521;874
1522;1522;1522;368
1523;1523;1523;644
1524;1524;1524;489
1525;1525;1525;859
1526;1526;1526;622
1527;1527;1527;577
1528;1528;1528;800
1529;1529;1529;405
1530;1530;1530;407
1531;1531;1531;828
1532;1532;1532;758
1533;1533;1533;553
1534;1534;1534;334
1535;1535;1535;309
1536;1536;1536;860
1537;1537;1537;398
1538;1538;1538;355
1539;1539;1539;600
1540;1540;1540;535
1541;1541;1541;466
